index	old_file	new_file	slug	title	description
1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0001.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0001_mountain_sage_long_road.jpg	mountain_sage_long_road	Mountain Sage Long Road	Solitary robed elder walking through stormy mountain pass.
2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0002.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0002_sage_blowing_shankh.jpg	sage_blowing_shankh	Sage Blowing Shankh	Elder raises conch shell and blows toward the mountains.
3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0003.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0003_haryanvi_warrior_urban_delivery.jpg	haryanvi_warrior_urban_delivery	Haryanvi Warrior Urban Delivery	Muscular performer in ruined city, direct camera delivery.
4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0004.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0004_rubab_hands_closeup.jpg	rubab_hands_closeup	Rubab Hands Closeup	Close hands playing a blood-streaked string instrument.
5	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0005.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0005_mountain_warrior_march.jpg	mountain_warrior_march	Mountain Warrior March	Armed group walking forward through mountain valley.
6	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0006.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0006_blood_granth_reader.jpg	blood_granth_reader	Blood Granth Reader	Turbaned artist reading a blood-marked manuscript in library.
7	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0007.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0007_ganga_diyas_tulsi_wide.jpg	ganga_diyas_tulsi_wide	Ganga Diyas Tulsi Wide	Calm river with floating diyas and tulsi plant.
8	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0008.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0008_unity_handshake_firelight.jpg	unity_handshake_firelight	Unity Handshake Firelight	Two men clasp hands in warm firelight.
9	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0009.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0009_total_eclipse_halo.jpg	total_eclipse_halo	Total Eclipse Halo	Black solar eclipse with bright ring of light.
10	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0010.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0010_city_overlook_raised_hand.jpg	city_overlook_raised_hand	City Overlook Raised Hand	Figure looks over modern skyline with raised hand.
11	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0011.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0011_elder_chant_face.jpg	elder_chant_face	Elder Chant Face	Close elder face with eyes closed, chanting.
12	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0012.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0012_ritual_bell_vibration.jpg	ritual_bell_vibration	Ritual Bell Vibration	Bell suspended in darkness with vibration rings.
13	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0013.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0013_ney_flute_elder_mountains.jpg	ney_flute_elder_mountains	Ney Flute Elder Mountains	Elder playing flute against mountain landscape.
14	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0014.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0014_split_flute_mountain_notes.jpg	split_flute_mountain_notes	Split Flute Mountain Notes	Split composition of flute, hair, mountains, and notes.
15	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0015.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0015_wind_cloak_mountain_sage.jpg	wind_cloak_mountain_sage	Wind Cloak Mountain Sage	Robed elder in wind, mountains behind.
16	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0016.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0016_ney_flute_mouth_closeup.jpg	ney_flute_mouth_closeup	Ney Flute Mouth Closeup	Close-up of flute at bearded mouth with musical notes.
17	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0017.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0017_abstract_shadow_cut.jpg	abstract_shadow_cut	Abstract Shadow Cut	High-contrast abstract diagonal shadow transition.
18	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0018.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0018_swirling_musical_wind.jpg	swirling_musical_wind	Swirling Musical Wind	Sepia wind ribbons carrying musical notes.
19	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0019.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0019_red_notes_mountain_wind.jpg	red_notes_mountain_wind	Red Notes Mountain Wind	Red musical notes over mountain wind ribbons.
20	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0020.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0020_dark_music_notes.jpg	dark_music_notes	Dark Music Notes	Sparse red music notes on black field.
21	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0021.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0021_flute_silhouette_closeup.jpg	flute_silhouette_closeup	Flute Silhouette Closeup	Dark close-up of fingers on flute.
22	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0022.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0022_mountain_music_ribbons.jpg	mountain_music_ribbons	Mountain Music Ribbons	Mountain valley crossed by flowing musical ribbons.
23	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0023.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0023_cloak_mountain_music_ribbons.jpg	cloak_mountain_music_ribbons	Cloak Mountain Music Ribbons	Cloaked figure and music ribbons through mountain pass.
24	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0024.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0024_intro_ney_closed_eyes.jpg	intro_ney_closed_eyes	Intro Ney Closed Eyes	Elder closed-eyed portrait with intro flute caption.
25	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0025.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0025_shankh_on_pedestal.jpg	shankh_on_pedestal	Shankh On Pedestal	Conch shell resting on plinth under storm clouds.
26	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0026.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0026_sage_shankh_mountain_blast.jpg	sage_shankh_mountain_blast	Sage Shankh Mountain Blast	Elder blows conch shell in mountain setting.
27	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0027.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0027_shankh_hands_detail.jpg	shankh_hands_detail	Shankh Hands Detail	Hands and mouth on decorated conch shell.
28	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0028.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0028_sage_clutching_robes.jpg	sage_clutching_robes	Sage Clutching Robes	Frontal elder gripping his robe before blast.
29	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0029.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0029_shankh_mouth_detail.jpg	shankh_mouth_detail	Shankh Mouth Detail	Extreme close-up of lips and fingers on conch.
30	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0030.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0030_red_resonance_spiral.jpg	red_resonance_spiral	Red Resonance Spiral	Red and cream sonic spiral vortex.
31	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0031.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0031_deep_red_resonance_spiral.jpg	deep_red_resonance_spiral	Deep Red Resonance Spiral	Darker red circular sonic spiral.
32	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0032.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0032_shankh_red_sonic_beam.jpg	shankh_red_sonic_beam	Shankh Red Sonic Beam	Conch releases red beam from elder's mouth.
33	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0033.jpg	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0033_mountain_dust_fracture.jpg	mountain_dust_fracture	Mountain Dust Fracture	Rock face erupts with dust in mountain valley.
