beat	start	end	title_hi	title_en	story_action	primary_frame	supporting_frames
1	0:00.00	0:09.86	द लॉन्ग रोड	The Long Road	A group moves through a severe mountain world; the road is ancient, stormed, and half-mythic.	0061_pakhtoon_formation_mountain	0001_mountain_sage_long_road,0005_mountain_warrior_march,0058_mountain_long_road_group,0059_marching_feet_dust,0066_warriors_on_ridge
2	0:09.86	0:19.71	संस्कृत नाद	Sanskrit Blast	A ritual elder raises the shankh; breath becomes red sonic force and reality ruptures.	0032_shankh_red_sonic_beam	0025_shankh_on_pedestal,0026_sage_shankh_mountain_blast,0027_shankh_hands_detail,0030_red_resonance_spiral,0031_deep_red_resonance_spiral,0034_shankh_side_red_blast
3	0:19.71	0:47.31	वैचारिक प्रहार	Aggressive Delivery	The Haryanvi figure enters as impact voice; rubab, waveform, fist, and red burst images cut around him.	0051_haryanvi_red_burst	0003_haryanvi_warrior_urban_delivery,0037_haryanvi_stance_ruins,0038_aggressive_delivery_caption,0039_haryanvi_hand_gesture_ruins,0041_haryanvi_waveform_portrait,0044_haryanvi_smirk_red_backdrop,0050_muscular_haryanvi_charge,0052_haryanvi_echo_copies
4	0:47.31	0:55.85	धरातल का बदलाव	Structural Shift	Mountains and concrete merge; modern buildings collapse into ancient terrain.	0036_collapsing_buildings_mountain	0042_walking_silhouette_ruins,0045_lone_shadow_floor,0056_elder_shocked_debris,0057_elder_debris_halo
5	0:55.85	1:12.94	पदचाप की धमक	Unyielding Stance	The performer plants himself in cracked ground; power gathers in body, feet, weapons, and posture.	0037_haryanvi_stance_ruins	0040_low_crouch_ground_impact,0046_radiant_clenched_fist,0047_bloodied_fist_ground,0048_footprint_audio_waveform,0053_warrior_rubab_cracked_wall,0055_haryanvi_group_stance,0060_weapon_belt_hands
6	1:12.94	1:22.14	वज्र प्रहार	Dust Fracture	The ground answers the beat; impact turns rhythm into visible destruction.	0043_foot_impact_dust_burst	0033_mountain_dust_fracture,0054_red_ground_explosion,0110_marching_feet_haryanvi_echo,0124_outro_marching_feet
7	1:22.14	1:30.68	पख्तून रक्षक	Pakhtoon Warrior	Pakhtoon warriors descend as an organized mountain force carrying discipline and inherited pain.	0062_pakhtoon_squad_close	0061_pakhtoon_formation_mountain,0065_lone_pakhtoon_red_swirl,0067_hand_gripping_staff,0068_descending_pakhtoon_squad,0069_pakhtoon_dialogue_caption
8	1:30.68	1:39.22	रूहानी नमी	The Shared Tear	The apparent divide becomes shared grief through eyes, tears, and compassion.	0091_shared_tears_split_eyes	0063_intense_eyes_closeup,0092_shared_meal_bowl,0114_eyes_mountain_reflection,0128_compassionate_smile_face
9	1:39.22	1:47.76	शापित ग्रंथ का रक्त	Shapit Granth	The artist enters the library and rewrites lost Natyashastra pages with blood ink.	0077_blood_writing_natyashastra	0006_blood_granth_reader,0070_library_archway_silhouette,0071_searching_shelves_locked_book,0072_manuscript_table_writer,0073_natyashastra_page_point,0074_blood_ink_pot_pen,0075_wrist_cut_ink_mixing,0076_writing_natya_katha,0081_red_natyashastra_granth,0082_writing_lost_pages,0126_blood_drop_on_page
10	1:47.76	1:56.96	गंगा और तुलसी	The Anchor	Ganga, diyas, and Tulsi restore sacred continuity and devotional stillness.	0089_tulsi_plant_close+0090_ganga_diyas_wide	0007_ganga_diyas_tulsi_wide,0090_ganga_diyas_wide,0089_tulsi_plant_close
11	1:56.96	2:22.59	अटूट जुड़ाव	One-ness	Hands lock; groups assemble; Bharat emerges as a shared vow.	0112_handshake_vibration_close	0008_unity_handshake_firelight,0085_mountain_camp_assembly,0086_haryanvi_leader_group,0087_elder_smile_group,0088_handshake_close,0095_bharat_shadow_unity,0096_handshake_vibration_rings,0109_bharat_group_march_caption,0111_aqueduct_procession,0113_united_warriors_urban,0120_shanti_handshake_outro,0123_aqueduct_group_shadows
12	2:22.59	2:31.79	ब्रह्म की मुस्कान	The Brahman Smirk	The human face becomes cosmic witness, smiling beyond conflict.	0132_mouth_smirk_close	0100_half_face_extreme_close,0101_cosmic_face_front,0102_dissolving_face_script,0105_dissolving_cosmic_face,0107_brahman_smirk_close,0115_subtle_brahman_smile_face
13	2:31.79	2:40.33	महाविस्फोट / महाशून्य	The Empty Space	The eclipse opens the threshold and a human figure approaches the void.	0106_figure_inside_eclipse	0009_total_eclipse_halo,0098_void_floor_figure,0099_absolute_black_field,0103_falling_figure_void,0104_clean_eclipse_halo,0116_eclipse_figure_focus_caption,0122_void_figure_shards,0134_eclipse_shards,0136_eclipse_ring_close
14	2:40.33	2:49.53	स्पंदन की गूंज	Vibration Echo	The final physical force becomes cosmic pulse through fist and vibration.	0117_fist_vibration_circles	0046_radiant_clenched_fist,0097_clenched_hand_shards,0112_handshake_vibration_close,0121_fist_shattering_letters,0137_eclipse_soundwave_final
15	2:49.53	3:13.84	तर्पण और विसर्जन	Sanskrit Chant	Ritual returns as bell and breath; the film prepares to dissolve instead of explode.	0118_ritual_bell_black	0011_elder_chant_face,0012_ritual_bell_vibration,0119_elder_smoke_breath,0127_bell_hindi_caption,0130_elder_smoke_breath_side,0133_elder_smoke_breath_center
16	3:13.84	3:21.84	पूर्ण विराम / मोक्ष	Final Beat / Silence	The last image contracts to Om in blackness and ends in silence.	0131_om_black_vortex	0108_black_void_star_mark,0129_om_smoke_void,0135_small_om_dark_void,0137_eclipse_soundwave_final
