frame	start	end	duration	title_hi	title_en	source	image_path	rubab_overlay	effects	note
1	0	1.645	1.645	Shot 001	001 Mountain Sage Long Road	1	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0001_mountain_sage_long_road.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Solitary robed elder walking through stormy mountain pass.
2	1.645	3.064	1.419	Shot 002	002 Sage Blowing Shankh	2	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0002_sage_blowing_shankh.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Elder raises conch shell and blows toward the mountains.
3	3.064	4.483	1.419	Shot 003	003 Haryanvi Warrior Urban Delivery	3	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0003_haryanvi_warrior_urban_delivery.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Muscular performer in ruined city, direct camera delivery.
4	4.483	5.912	1.429	Shot 004	004 Rubab Hands Closeup	4	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0004_rubab_hands_closeup.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Close hands playing a blood-streaked string instrument.
5	5.912	7.558	1.646	Shot 005	005 Mountain Warrior March	5	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0005_mountain_warrior_march.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Armed group walking forward through mountain valley.
6	7.558	8.976	1.418	Shot 006	006 Blood Granth Reader	6	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0006_blood_granth_reader.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Turbaned artist reading a blood-marked manuscript in library.
7	8.976	11.083	2.107	Shot 007	007 Ganga Diyas Tulsi Wide	7	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0007_ganga_diyas_tulsi_wide.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Calm river with floating diyas and tulsi plant.
8	11.083	12.717	1.634	Shot 008	008 Unity Handshake Firelight	8	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0008_unity_handshake_firelight.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Two men clasp hands in warm firelight.
9	12.717	14.024	1.307	Shot 009	009 Total Eclipse Halo	9	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0009_total_eclipse_halo.jpg	no	grain,vignette,sonic	Intro road, ney, shankh prelude. Black solar eclipse with bright ring of light.
10	14.024	15.443	1.419	Shot 010	010 City Overlook Raised Hand	10	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0010_city_overlook_raised_hand.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Figure looks over modern skyline with raised hand.
11	15.443	16.872	1.429	Shot 011	011 Elder Chant Face	11	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0011_elder_chant_face.jpg	no	grain,vignette	Intro road, ney, shankh prelude. Close elder face with eyes closed, chanting.
12	16.872	18.222	1.35	Shot 012	012 Ritual Bell Vibration	12	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0012_ritual_bell_vibration.jpg	no	grain,vignette,sonic	Intro road, ney, shankh prelude. Bell suspended in darkness with vibration rings.
13	18.222	19.811	1.589	Shot 013	013 Ney Flute Elder Mountains	13	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0013_ney_flute_elder_mountains.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Elder playing flute against mountain landscape.
14	19.811	21.4	1.589	Shot 014	014 Split Flute Mountain Notes	14	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0014_split_flute_mountain_notes.jpg	yes	grain,vignette,sonic	Intro road, ney, shankh prelude. Split composition of flute, hair, mountains, and notes.
15	21.4	22.818	1.418	Shot 015	015 Wind Cloak Mountain Sage	15	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0015_wind_cloak_mountain_sage.jpg	no	grain,vignette,dust	Intro road, ney, shankh prelude. Robed elder in wind, mountains behind.
16	22.818	24.248	1.43	Shot 016	016 Ney Flute Mouth Closeup	16	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0016_ney_flute_mouth_closeup.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Close-up of flute at bearded mouth with musical notes.
17	24.248	25.269	1.021	Shot 017	017 Abstract Shadow Cut	17	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0017_abstract_shadow_cut.jpg	no	grain,vignette	Intro road, ney, shankh prelude. High-contrast abstract diagonal shadow transition.
